FO,Region,Country,ACD Location,lat,lon,Latlong Source,Guess,REC_ID,ENL_ID,yr_start,yr_end,surv_int,pcd,cases,pyor,y,LN(y),s.e.,LCI95,UCI95,Mylem,Myuem,n,n+,lar,uar,PfPR,pr,mbg_pr,mix_pr,Ref ACD,Ref PfPR,Notes,
40,America,Venezuela,Las Majadas (non-vaccine),7.6330,-64.8340,Encarta,1,-1003759519,907,1989,1990,14,Y,56,825,67.852,4.217,0.134,52.217,88.168,15.635,20.316,11117,49,11.0,90.0,0.441,0.743,3.378,0.743,20,18,,
41,America,Venezuela,Las Majadas,7.6330,-64.8340,Encarta,1,-1003759519,907,1988,1989,14,Y,89,941,94.601,4.550,0.106,76.854,116.446,17.747,21.845,11117,49,11.0,90.0,0.441,0.743,3.523,0.743,20,18,,
42,America,Venezuela,Ocamo & Mavaca (Int),2.5088,-65.1461,GPS,1,-2079865279,950,1999,2000,14,Y,73,835,87.415,4.471,0.117,69.496,109.954,17.919,22.540,293,3,0.5,99.0,1.024,1.331,3.082,1.331,24,24,,
43,America,Venezuela,Ocamo & Mavaca,2.7690,-65.2031,GPS,1,1160335348,950,1999,2000,14,Y,108,917,117.814,4.769,0.096,97.564,142.267,20.250,24.453,332,14,0.5,99.0,4.217,5.480,2.495,5.480,24,24,,
44,America,Venezuela,Coyoweteri & Coshiloweteri (main),2.5470,-64.7680,Combination,2,304394609,895,1993,1994,7,Y,32,625,51.173,3.935,0.177,36.188,72.363,14.985,21.190,1311,87,0.0,99.0,6.600,8.651,5.503,8.651,29,29,,
45,America,Venezuela,Coyoweteri & Coshiloweteri (remote),3.8550,-65.6950,Combination,2,573675783,895,1993,1994,7,Y,32,1123,28.504,3.350,0.177,20.157,40.307,8.347,11.803,1311,87,0.0,99.0,6.600,8.651,5.289,8.651,29,29,,
46,CSE Asia,China,Bainan (C),23.0650,105.8310,Encarta,1,,,1990,1992,7,N,30,12308,2.437,0.891,0.183,1.704,3.486,0.733,1.049,,,,,,,0.920,0.920,44,4,,
47,CSE Asia,China,Baisen,23.1576,105.6666,Other,2,,,1990,1991,7,N,11,3565,3.086,1.127,0.302,1.709,5.572,1.377,2.486,519,24,0.0,99.0,4.600,6.029,0.881,6.029,44,44,,
48,CSE Asia,China,Dayouza (b4 intervention),25.4140,107.8800,Combination,3,,,1990,1990,7,N,101,2889,34.960,3.554,0.100,28.766,42.489,6.195,7.528,710,38,0.0,99.0,5.300,6.947,3.815,6.947,44,44,,
49,CSE Asia,China,Genban (C),25.3710,107.8560,Combination,3,,,1990,1991,7,N,188,12423,15.133,2.717,0.073,13.117,17.459,2.016,2.326,1994,179,0.0,99.0,9.000,11.797,4.854,11.797,44,44,,
