FO,Region,Country,ACD Location,lat,lon,Latlong Source,Guess,REC_ID,ENL_ID,yr_start,yr_end,surv_int,pcd,cases,pyor,y,LN(y),s.e.,LCI95,UCI95,Mylem,Myuem,n,n+,lar,uar,PfPR,pr,mbg_pr,mix_pr,Ref ACD,Ref PfPR,Notes,
91,CSE Asia,India,B.Singpur,21.6830,85.2650,Encarta,1,1714011823,733,1987,1988,14,N,252,1476,341.463,5.833,0.063,301.802,386.337,39.661,44.873,12122,1285,0.0,99.0,10.601,13.895,36.642,13.895,55,56,,
92,CSE Asia,India,Sonapur,26.1160,91.9820,Encarta,1,-1269487330,898,1990,1992,7,N,8026,67545,118.824,4.778,0.011,116.253,121.453,2.571,2.628,5969,834,0.0,99.0,13.972,18.314,31.871,18.314,58,59,,
93,CSE Asia,India,Medeluanjan and Paninara,26.6010,94.1990,Encarta,1,1123180455,730,2001,2002,7,Y,174,2625,66.286,4.194,0.076,57.133,76.904,9.152,10.619,,,0.0,99.0,,,18.008,18.008,60,60,,
94,CSE Asia,India,San Dulakudar,22.1749,84.7850,GPS,1,107125210,749,1998,1999,7,Y,197,264,746.212,6.615,0.071,648.956,858.043,97.256,111.831,272,52,0.0,99.0,19.118,25.058,11.166,25.058,61,61,,
95,CSE Asia,India,San Dulakudar,22.1749,84.7850,GPS,1,107125210,749,1999,2000,7,Y,156,263,593.156,6.385,0.080,507.010,693.938,86.145,100.782,192,40,0.0,99.0,20.833,27.307,9.583,27.307,61,61,,
96,CSE Asia,India,San Dulakudar,22.1749,84.7850,GPS,1,107125210,749,2000,2001,7,Y,159,266,597.744,6.393,0.079,511.693,698.267,86.051,100.522,305,41,0.0,99.0,13.443,17.620,7.719,17.620,61,61,,
97,CSE Asia,India,San Dulakudar,22.1749,84.7850,GPS,1,107125210,749,2001,2002,7,Y,174.4969,271,643.900,6.468,0.076,555.111,746.891,88.789,102.991,,,0.0,99.0,17.600,23.069,6.003,23.069,67,,FU Sharma 02/12/08 re geo-positions and data,
98,CSE Asia,India,San Dulakudar,22.1749,84.7850,GPS,1,107125210,749,2002,2003,7,Y,106.232,271,392.000,5.971,0.097,324.115,474.104,67.885,82.104,,,0.0,99.0,4.500,5.898,4.266,5.898,67,,FU Sharma 02/12/08 re geo-positions and data,
99,CSE Asia,India,San Dulakudar,22.1749,84.7850,GPS,1,107125210,749,2003,2004,7,Y,69.105,271,255.000,5.541,0.120,201.439,322.802,53.561,67.802,,,0.0,99.0,5.000,6.554,2.562,6.554,67,,FU Sharma 02/12/08 re geo-positions and data,
100,CSE Asia,India,San Dulakudar,22.1749,84.7850,GPS,1,107125210,749,2004,2005,7,Y,46.07,271,170.000,5.136,0.147,127.362,226.913,42.638,56.913,,,0.0,99.0,4.000,5.243,2.212,5.243,67,,FU Sharma 02/12/08 re geo-positions and data,
101,CSE Asia,India,San Dulakudar,22.1749,84.7850,GPS,1,107125210,749,2005,2006,7,Y,63.685,271,235.000,5.460,0.125,183.824,300.423,51.176,65.423,,,0.0,99.0,3.000,3.932,2.992,3.932,67,,FU Sharma 02/12/08 re geo-positions and data,
102,CSE Asia,India,Pandaripathar and Jagda (control),21.9932,84.7985,GPS,1,-811359295,749,2001,2002,7,Y,82.1652,299,274.800,5.616,0.110,221.366,341.133,53.434,66.333,,,0.0,99.0,18.900,24.773,14.430,24.773,67,,FU Sharma 02/12/08 re geo-positions and data,
103,CSE Asia,India,Pandaripathar and Jagda (control),21.9932,84.7985,GPS,1,-811359295,749,2002,2003,7,Y,92.69,299,310.000,5.737,0.104,252.899,379.994,57.101,69.994,,,0.0,99.0,20.000,26.215,11.494,26.215,67,,FU Sharma 02/12/08 re geo-positions and data,
104,CSE Asia,India,Pandaripathar and Jagda (control),21.9932,84.7985,GPS,1,-811359295,749,2003,2004,7,Y,94.185,299,315.000,5.753,0.103,257.395,385.497,57.605,70.497,,,0.0,99.0,15.900,20.841,8.326,20.841,67,,FU Sharma 02/12/08 re geo-positions and data,
105,CSE Asia,India,Pandaripathar and Jagda (control),21.9932,84.7985,GPS,1,-811359295,749,2004,2005,7,Y,98.67,299,330.000,5.799,0.101,270.907,401.983,59.093,71.983,,,0.0,99.0,20.000,26.215,7.514,26.215,67,,FU Sharma 02/12/08 re geo-positions and data,
